,title,seasons,start_year,imdb_rating,viewer_maturity,genre,content_advisory,network,episodes,avg_episode_runtime
0,MR. ROBOT,4,2015,8.6,Adults,['DRAMA'],"['strong drug use', 'strong foul language', 'strong sexuality', 'moderate nudity', 'moderate violence']",NBCUNIVERSAL,45,49.022222222222226
0,PSYCH,8,2007,-1.0,Teens,['COMEDY'],"['foul language', 'drug use', 'sexual content', 'violence']",NBCUNIVERSAL,122,43.34426229508197
0,STAR TREK: PICARD,1,2020,7.5,Adults,['SCIENCE FICTION'],"['foul language', 'drug use', 'sexual content', 'violence']",CBS,10,48.9
0,REIGN,4,2014,-1.0,Young Adults,['DRAMA'],"['moderate foul language', 'moderate drug use', 'strong sexuality', 'nudity', 'strong violence']",NA,78,41.65384615384615
0,THE TERROR,2,2018,-1.0,Young Adults,"['DRAMA', 'SUSPENSE', 'ADVENTURE', 'HISTORICAL']","['moderate foul language', 'moderate drug use', 'nudity', 'strong violence']",AMC STUDIOS INTERNATIONAL B.V,20,45.75
0,PARKS AND RECREATION,7,2009,-1.0,Young Adults,['COMEDY'],"['drug use', 'foul language', 'sexual content', 'violence']",NBCUNIVERSAL,125,21.856
0,BLINDSPOT,5,2016,7.4,Young Adults,['DRAMA'],"['moderate foul language', 'moderate drug use', 'moderate sexuality', 'mild nudity', 'moderate violence']",WB,100,42.87
0,BLUE BLOODS,11,2011,7.6,Young Adults,['DRAMA'],"['strong foul language', 'mild sexuality', 'moderate violence']",CBS,222,42.166666666666664
0,ABSENTIA,3,2018,7.3,Young Adults,"['DRAMA', 'SUSPENSE']","['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",AMAZON STUDIOS,30,42.56666666666667
0,THE GOOD WIFE,7,2010,8.3,Young Adults,['DRAMA'],"['moderate foul language', 'moderate drug use', 'sexual content', 'violence']",NA,156,43.56410256410256
0,BOSCH,6,2015,8.4,Adults,['DRAMA'],"['moderate drug use', 'strong foul language', 'moderate sexuality', 'nudity', 'moderate violence']",AMAZON STUDIOS,60,46.21666666666667
0,FARGO,4,2014,-1.0,Teens,['DRAMA'],"['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",MGM,41,53.073170731707314
0,DECEPTION,1,2018,-1.0,Teens,['DRAMA'],"['foul language', 'drug use', 'mild sexuality', 'moderate violence']",ABC,13,42.92307692307692
0,SHAMELESS,11,2011,8.6,Adults,"['DRAMA', 'COMEDY']","['drug use', 'foul language', 'sexual content', 'nudity', 'violence']",WB,126,54.06349206349206
0,JESTINATION UNKNOWN,1,2019,6.1,Young Adults,"['UNSCRIPTED', 'COMEDY', 'ARTS, ENTERTAINMENT, AND CULTURE']","['strong foul language', 'moderate drug use', 'mild sexuality', 'violence']",AMAZON STUDIOS,6,36.833333333333336
0,THE AFFAIR,5,2014,-1.0,Adults,['DRAMA'],"['strong foul language', 'strong drug use', 'strong sexuality', 'strong nudity', 'moderate violence']",VOOT,53,57.867924528301884
0,THE GRAND TOUR,4,2017,8.7,Young Adults,"['UNSCRIPTED', 'SPORTS']","['foul language', 'drug use', 'sexual content', 'violence']",AMAZON STUDIOS,40,64.175
0,CHICAGO MED,4,2016,7.5,Young Adults,['DRAMA'],"['foul language', 'drug use', 'sexual content', 'violence']",NBCUNIVERSAL,83,42.204819277108435
0,THE GYMKHANA FILES,1,2018,8.0,Young Adults,"['SPORTS', 'DOCUMENTARY', 'UNSCRIPTED', 'SPECIAL INTEREST']","['strong foul language', 'violence']",AMAZON STUDIOS,9,39.0
0,ALL AMERICAN,3,2019,-1.0,Young Adults,"['DRAMA', 'SPORTS']",NA,WB,33,42.0
0,AMERICAN GODS,3,2017,7.8,Adults,"['FANTASY', 'DRAMA']","['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",FREMANTLE,18,55.27777777777778
0,SECRET NATURE,1,2004,-1.0,Young Adults,[],['violence'],SOUTHERN STAR,12,50.0
0,ELEMENTARY,7,2013,7.9,Young Adults,"['SUSPENSE', 'DRAMA']","['moderate foul language', 'moderate drug use', 'moderate sexuality', 'moderate violence']",CBS,154,42.48051948051948
0,TAKEN,2,2017,-1.0,Young Adults,"['DRAMA', 'ACTION']","['foul language', 'drug use', 'sexual content', 'violence']",NBCUNIVERSAL,26,42.61538461538461
0,SHAKTIMAAN,5,1998,-1.0,Teens,['INTERNATIONAL'],"['moderate drug use', 'moderate foul language', 'mild violence']",ULTRA MEDIA & ENTERTAINMENT PVT. LTD.,100,41.69
0,BEST OF THE BEST,2,2013,-1.0,Teens,[],"['foul language', 'mild sexuality']",NA,26,22.73076923076923
0,MASTERS OF SEX,4,2013,-1.0,Young Adults,['FANTASY'],"['strong foul language', 'moderate drug use', 'strong sexuality', 'severe nudity', 'violence']",SHOWTIME ,47,57.255319148936174
0,GOD FRIENDED ME,2,2019,-1.0,Kids,"['DRAMA', 'COMEDY']","['moderate foul language', 'moderate drug use', 'mild sexuality', 'violence']",WB,42,42.73809523809524
0,DOWNTON ABBEY,6,2011,8.7,Teens,['DRAMA'],"['foul language', 'drug use', 'sexual content', 'violence']",NA,57,54.175438596491226
0,THIS IS US,4,2017,8.7,Young Adults,['DRAMA'],"['moderate drug use', 'moderate foul language', 'moderate sexuality', 'nudity', 'mild violence']",FOX,72,43.0
0,LORE,2,2017,6.7,Young Adults,"['HORROR', 'DRAMA']","['foul language', 'moderate drug use', 'sexual content', 'mild nudity', 'strong violence']",AMAZON STUDIOS,13,41.61538461538461
0,CLAWS,3,2017,7.4,Adults,['DRAMA'],"['strong drug use', 'strong foul language', 'strong sexuality', 'strong nudity', 'severe violence']",TNT,30,46.5
0,CLASSIC POPEYE,2,1960,-1.0,Teens,['ANIMATION'],"['moderate drug use', 'moderate violence']",FILMRISE,55,23.01818181818182
0,TRUTH SEEKERS,1,2020,7.1,Young Adults,['COMEDY'],"['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",AMAZON STUDIOS,8,27.875
0,KILLING EVE,3,2018,-1.0,Young Adults,['DRAMA'],"['foul language', 'drug use', 'sexual content', 'violence']",IMG,24,41.958333333333336
0,INTO THE BADLANDS,3,2015,8.0,Young Adults,"['ACTION', 'SCIENCE FICTION', 'DRAMA']","['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",AMC,32,42.8125
0,DIABLO GUARDIAN,2,2018,6.1,Adults,['DRAMA'],"['drug use', 'foul language', 'sexual content', 'nudity', 'violence']",AMAZON STUDIOS,18,40.166666666666664
